GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET1001,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G53000109501","1990","WA",,,,,,,,,"9501",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0001628928","0000008502","BNA 9501","S","+47151277","-118397174",,2527,2444,7,22,9,3,26,0,0,0,16
"G53000109502","1990","WA",,,,,,,,,"9502",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0002616135","0000001041","BNA 9502","S","+46918337","-118500277",,1761,1627,1,7,11,3,13,0,0,1,98
"G53000109503","1990","WA",,,,,,,,,"9503",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000722607","0000002701","BNA 9503","S","+46831311","-119118203",,4633,2478,7,7,5,11,49,0,0,1,2075
"G53000109504","1990","WA",,,,,,,,,"9504",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000006112","0000000000","BNA 9504","S","+46832944","-119155800",,1932,953,5,15,9,0,47,0,0,0,903
"G53000109505","1990","WA",,,,,,,,,"9505",,,"99","Adams","001",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000011962","0000000000","BNA 9505","S","+46815485","-119159088",,2750,1431,9,13,56,3,32,2,0,1,1203
"G53000309801","1990","WA",,,,,,,,,"9801",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0001357750","0000008530","BNA 9801","S","+46152593","-117195019",,2671,2621,1,17,13,3,14,0,0,0,2
"G53000309802","1990","WA",,,,,,,,,"9802",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000277026","0000002995","BNA 9802","S","+46365427","-117257971",,3596,3476,5,39,25,2,34,0,4,0,11
"G53000309803","1990","WA",,,,,,,,,"9803",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000003714","0000000680","BNA 9803","S","+46421013","-117050351",,3243,3034,8,96,26,1,49,0,12,0,17
"G53000309804","1990","WA",,,,,,,,,"9804",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000001602","0000000000","BNA 9804","S","+46413743","-117067469",,1755,1680,5,25,6,0,30,0,0,2,7
"G53000309805","1990","WA",,,,,,,,,"9805",,,"99","Asotin","003",,,"9","9999",,,,"9999","4","Washington","53",,,,"0000001853","0000000000","BNA 9805","S","+46405513","-117049067",,3527,3391,10,33,21,0,52,1,2,2,15
