tr2000gj,tr2000ge,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G5300010950100,53001950100,G5300010950100,53001950100,1,1,1,1,1,1,1,1
G5300010950200,53001950200,G5300010950200,53001950200,1,1,1,1,1,1,1,1
G5300010950300,53001950300,G5300010950300,53001950300,1,1,1,1,1,1,1,1
G5300010950400,53001950400,G5300010950400,53001950400,1,1,1,1,1,1,1,1
G5300010950500,53001950500,G5300010950500,53001950500,1,1,1,1,1,1,1,1
G5300030980100,53003980100,G5300030960100,53003960100,1,1,1,1,1,1,1,1
G5300030980200,53003980200,G5300030960200,53003960200,1,1,1,1,1,1,1,1
G5300030980300,53003980300,G5300030960300,53003960300,1,1,1,1,1,1,1,1
G5300030980400,53003980400,G5300030960400,53003960400,1,1,1,1,1,1,1,1
G5300030980500,53003980500,G5300030960500,53003960500,1,1,1,1,1,1,1,1
G5300030980600,53003980600,G5300030960600,53003960600,1,1,1,1,1,1,1,1
G5300050010100,53005010100,G5300050010100,53005010100,1,1,1,1,1,1,1,1
G5300050010201,53005010201,G5300050010201,53005010201,1,1,1,1,1,1,1,1
G5300050010202,53005010202,G5300050010202,53005010202,1,1,1,1,1,1,1,1
G5300050010300,53005010300,G5300050010300,53005010300,1,1,1,1,1,1,1,1
G5300050010400,53005010400,G5300050010400,53005010400,1,1,1,1,1,1,1,1
G5300050010500,53005010500,G5300050010500,53005010500,1,1,1,1,1,1,1,1
G5300050010600,53005010600,G5300050010600,53005010600,1,1,1,1,1,1,1,1
G5300050010700,53005010700,G5300050010300,53005010300,0,0,0,0,0,0,0,0
G5300050010700,53005010700,G5300050010701,53005010701,0.3428587416,0.1533628348,0.1535510849,0.1533892881,0.1491127274,0.1471873424,0.1490542275,0.1495539401
G5300050010700,53005010700,G5300050010703,53005010703,0.4569660734,0.2573986685,0.2699503241,0.2568945975,0.280968126,0.2890540147,0.2747663221,0.3277428542
G5300050010700,53005010700,G5300050010705,53005010705,0.0686953033,0.3780198946,0.3599989929,0.3797267283,0.3451448084,0.3329224339,0.3699981272,0.1576981796
G5300050010700,53005010700,G5300050010707,53005010707,0.0519552293,0.0478128517,0.0445176246,0.0468256602,0.0435180473,0.0431577609,0.0467257171,0.0193254271
G5300050010700,53005010700,G5300050010708,53005010708,0.0795246524,0.1634057504,0.1719819736,0.1631637259,0.1812562909,0.1876784481,0.159455606,0.345679599
G5300050010700,53005010700,G5300050010803,53005010803,0,0,0,0,0,0,0,0
G5300050010801,53005010801,G5300050010807,53005010807,0.4139220231,0.0769966523,0.0760396729,0.0713080169,0.075036075,0.0760295671,0.0707261725,0.1640625
G5300050010801,53005010801,G5300050010811,53005010811,0.0982614772,0.2006217121,0.1910562032,0.1991561181,0.1810966811,0.1798662443,0.1860816944,0.078125
G5300050010801,53005010801,G5300050010813,53005010813,0.084793894,0.5828550933,0.6001392031,0.5932489451,0.61002886,0.6099964801,0.6138426626,0.53125
G5300050010801,53005010801,G5300050010814,53005010814,0.4030226057,0.1395265423,0.1327649208,0.1362869198,0.1338383838,0.1341077086,0.1293494705,0.2265625
G5300050010803,53005010803,G5300050010803,53005010803,1,1,1,1,1,1,1,1
G5300050010804,53005010804,G5300050010805,53005010805,0.5153981077,0.356930255,0.3519376342,0.3586521987,0.3414115646,0.3449477352,0.350535815,0.3134715026
G5300050010804,53005010804,G5300050010809,53005010809,0.1801167476,0.3890840841,0.3898976766,0.3714092317,0.4059349915,0.4063132829,0.3432098726,0.5980103558
G5300050010804,53005010804,G5300050010810,53005010810,0.2778468007,0.2538247728,0.257938726,0.2696530184,0.2524408588,0.2485340219,0.3059723045,0.0885181416
G5300050010804,53005010804,G5300050010813,53005010813,0.026638344,0.0001608881,0.0002259632,0.0002855511,0.000212585,0.00020496,0.0002820079,0
G5300050010901,53005010901,G5300050010901,53005010901,1,1,1,1,1,1,1,1
G5300050010902,53005010902,G5300050010902,53005010902,1,1,1,1,1,1,1,1
G5300050011001,53005011001,G5300050011001,53005011001,1,1,1,1,1,1,1,1
G5300050011002,53005011002,G5300050011002,53005011002,1,1,1,1,1,1,1,1
G5300050011100,53005011100,G5300050011100,53005011100,1,1,1,1,1,1,1,1
G5300050011200,53005011200,G5300050011200,53005011200,1,1,1,1,1,1,1,1
G5300050011300,53005011300,G5300050011300,53005011300,0.9379652933,0.9839303824,0.9848597947,0.9814597688,0.9859948708,0.9867482625,0.9804972574,0.9946452942
G5300050011300,53005011300,G5300050011401,53005011401,0.0025913071,0.0022241968,0.0020992128,0.0026193786,0.0018968251,0.0018120816,0.0026369691,0.0007322182
G5300050011300,53005011300,G5300050011402,53005011402,0.0263819933,0.0109067019,0.0102938234,0.0128445389,0.0093013832,0.0088858298,0.0129307965,0.0035905483
G5300050011300,53005011300,G5300050011501,53005011501,0.0330614063,0.002938719,0.002747169,0.0030763137,0.0028069209,0.0025538262,0.003934977,0.0010319392
G5300050011401,53005011401,G5300050011401,53005011401,1,1,1,1,1,1,1,1
G5300050011402,53005011402,G5300050011402,53005011402,1,1,1,1,1,1,1,1
G5300050011501,53005011501,G5300050011501,53005011501,1,1,1,1,1,1,1,1
G5300050011502,53005011502,G5300050011503,53005011503,0.8646611143,0.7156387156,0.7397080531,0.7259109312,0.7495981999,0.7478070175,0.7358142962,0.8438287154
G5300050011502,53005011502,G5300050011504,53005011504,0.1353388857,0.2843612844,0.2602919469,0.2740890688,0.2504018001,0.2521929825,0.2641857038,0.1561712846
G5300050011600,53005011600,G5300050011600,53005011600,1,1,1,1,1,1,1,1
G5300050011700,53005011700,G5300050011700,53005011700,1,1,1,1,1,1,1,1
G5300050011800,53005011800,G5300050011800,53005011800,0.9999995426,1,1,1,1,1,1,1
G5300050011800,53005011800,G5300250011402,53025011402,0,0,0,0,0,0,0,0
G5300050011800,53005011800,G5300770001800,53077001800,0.0000004574,0,0,0,0,0,0,0
G5300050011900,53005011900,G5300050011900,53005011900,0.9999915949,1,1,1,1,1,1,1
G5300050011900,53005011900,G5300050012000,53005012000,0.0000084051,0,0,0,0,0,0,0
G5300050012000,53005012000,G5300050012000,53005012000,1,1,1,1,1,1,1,1
G5300070960100,53007960100,G5300070960100,53007960100,1,1,1,1,1,1,1,1
G5300070960200,53007960200,G5300070960200,53007960200,1,1,1,1,1,1,1,1
G5300070960300,53007960300,G5300070960300,53007960300,1,1,1,1,1,1,1,1
G5300070960400,53007960400,G5300070960400,53007960400,1,1,1,1,1,1,1,1
G5300070960500,53007960500,G5300070960500,53007960500,1,1,1,1,1,1,1,1
G5300070960600,53007960600,G5300070960600,53007960600,1,1,1,1,1,1,1,1
G5300070960700,53007960700,G5300070960700,53007960700,1,1,1,1,1,1,1,1
G5300070960800,53007960800,G5300070960801,53007960801,0.7822820343,0.2548735095,0.2429767195,0.2807400628,0.2221664845,0.223509308,0.3084386228,0.0719939183
G5300070960800,53007960800,G5300070960802,53007960802,0.2177179657,0.7451264905,0.7570232805,0.7192599372,0.7778335155,0.776490692,0.6915613772,0.9280060817
G5300070960900,53007960900,G5300070961301,53007961301,0.3797503193,0.1488591019,0.1504313573,0.1516170216,0.1491605134,0.1513822173,0.1665541824,0.1054905111
G5300070960900,53007960900,G5300070961302,53007961302,0.6202496807,0.8511408981,0.8495686427,0.8483829784,0.8508394866,0.8486177827,0.8334458176,0.8945094889
G5300070961000,53007961000,G5300070961000,53007961000,1,1,1,1,1,1,1,1
G5300070961100,53007961100,G5300070961100,53007961100,1,1,1,1,1,1,1,1
G5300070961200,53007961200,G5300070961200,53007961200,1,1,1,1,1,1,1,1
G5300090980100,53009980100,G5300090940000,53009940000,1,1,1,1,1,1,1,1
G5300090980100,53009980100,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980200,53009980200,G5300090000200,53009000200,1,1,1,1,1,1,1,1
G5300090980200,53009980200,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980300,53009980300,G5300090000300,53009000300,1,1,1,1,1,1,1,1
G5300090980400,53009980400,G5300090000400,53009000400,0.9999706359,1,1,1,1,1,1,1
G5300090980400,53009980400,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980400,53009980400,G5300310950702,53031950702,0.0000293641,0,0,0,0,0,0,0
G5300090980600,53009980600,G5300090000600,53009000600,0.9999080242,1,1,1,1,1,1,1
G5300090980600,53009980600,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980600,53009980600,G5300310950702,53031950702,0.0000919758,0,0,0,0,0,0,0
G5300090980700,53009980700,G5300090000700,53009000700,1,1,1,1,1,1,1,1
G5300090980700,53009980700,G5300090990100,53009990100,0,0,0,0,0,0,0,0
G5300090980800,53009980800,G5300090000800,53009000800,1,1,1,1,1,1,1,1
G5300090980900,53009980900,G5300090000900,53009000900,1,1,1,1,1,1,1,1
